sr_fecha (Día);sr_plaza;Cod Enlaza;sr_remitente;sr_ps;sr_ori;sr_des;Total Palets ;Facturación€;Coste€
02/01/2026;089;089000024;LIFENG TRADE;02;089;461;2;116;2
02/01/2026;089;089000094;"FLOORFLEX,S.L.";02;089;089;10;382;10
02/01/2026;089;089000121;SANDENVENDO SPAIN;02;089;149;1;47;1
02/01/2026;089;089000127;ISOLANA CORUA;01;089;281;2;196;2
02/01/2026;089;089000140;HAIR AND BEAUTY CASH AND CARRY;01;089;089;1;38;1
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;032;3;187;3
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;128;1;60;1
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;179;1;74;1
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;181;1;47;1
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;192;2;130;2
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;201;1;46;1
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;241;3;201;3
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;283;3;136;3
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;292;1;76;1
02/01/2026;089;089000142;ORIENTAL MARKET;01;089;461;3;165;3
02/01/2026;089;089000156;"KINYO, S.L.";02;089;089;1;22;1
02/01/2026;089;089000157;"AGRUPACION EMPRESAS VENDING, SL";02;089;179;1;39;1
02/01/2026;089;089000198;SECRETO  MAYA  - MAIZ  MAYA;01;283;089;1;61;1
02/01/2026;089;089000204;"GIRO GH, S.A.";01;089;211;4;249;4
02/01/2026;089;089000204;"GIRO GH, S.A.";02;089;041;6;367;6
02/01/2026;089;089000204;"GIRO GH, S.A.";02;089;062;1;53;1
02/01/2026;089;089000204;"GIRO GH, S.A.";02;089;149;1;52;1
02/01/2026;089;089000204;"GIRO GH, S.A.";02;089;292;4;227;4
02/01/2026;089;089000209;"ASJ HOME TEXTIL, S.L.U.";02;089;031;1;71;1
02/01/2026;089;089000295;CADAQUES GASTRONOMICA;01;283;089;1;64;1
02/01/2026;089;089000298;"BOSSANOVA LLUMI, S.L.";01;089;011;1;61;1
02/01/2026;089;089000298;"BOSSANOVA LLUMI, S.L.";01;089;283;2;118;2
02/01/2026;089;089000298;"BOSSANOVA LLUMI, S.L.";01;089;461;1;56;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;011;3;149;3
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;031;2;56;2
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;059;1;37;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;119;1;65;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;152;1;58;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;159;1;65;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;231;1;46;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;261;1;50;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;283;1;22;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;328;1;65;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;331;1;62;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;363;1;47;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;371;1;41;1
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;391;3;166;3
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;411;2;98;2
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;461;2;50;2
02/01/2026;089;089000300;"DELICAT ALIMENT, S.L.";02;089;501;1;30;1
02/01/2026;089;089000318;"PROFESSIONAL LABS NUTRITION, S.L.";01;089;439;1;54;1
02/01/2026;089;089000318;"PROFESSIONAL LABS NUTRITION, S.L.";02;089;291;1;97;1
02/01/2026;089;089000319;"MIIN COSMETICS, S.L.";02;089;031;2;132;2
